XP的驱动不好找！我的17号提的货，现在就降价了100元，而且还送杀毒软件！	0
缺点就是对女生而言装系统太高难度，其它的真没啥，只能说买小本，你选择华硕，不会后悔！！！	0
样子很不错，键盘"看起来"手感也很好，机子散热相当的好，屏幕也很亮，是惠普的东西…………	1
预装的vista速度让人不爽 而且键盘感觉有点软 外壳感觉不是那么结实 好像很薄一样	0
E5400质量不错不会装系统的朋友,一定要注意,linux不好弄,尽量买一个带windows	0
开箱即发现USB口一个是坏的，触摸板左键也是坏的，惠普的质量控制体系可以用垃圾来形容。要求换货还要客户跑到厂方维修部出检测证明，换货过程中返修单留言多日无人回应，售后电话等待时间超长，服务承诺10天完成换货周期实际用了15天，换货过程中间价格降低400多没有价保（一次都没有用到），商品服务都是垃圾等级的。	1
做工优良，在保持高性能配置的前提下，机器的散热非常流畅，开机一天后，整机温度一直在30°左右！	1
外观可以，系统真难装,LINUX 系统根本不能装 GHOST 版本的XP 而且刚买就降100	0
电脑的外观，性能都没得说啊！相信以后是不会再选择其他品牌的电脑了！	1
外观漂亮,各功能指示灯也很好看,价格较中关村划算一些。给女孩子用较适合,看电影、听音乐音效还可以	1
京东的dd发货速度是惊人的，第二天中午就到了，带发票，还可以拉卡，8错。打开还有xp光盘，就是没有预装office	1
刚到手还没用，就进不了系统，硬盘有嘎吱响，硬盘肯定震坏了或者怎么的，然后就又要发回去退货，然后再去别的地方拿了一台，哎，郁闷	1
京东的发货速度是没话说的，但圆通真的很慢呀！建议以后不要用圆通了！	0
周六下的单，周一到货，很满意这个笔记本，也感谢京东，下次再来。更感谢其中一个男话务员，帮我询问运货情况，并给我打电话回复	1
虽然白色不是我想要的，但是不显指纹，也还不错。待机时间长，电源适配器小巧。键盘舒适。	1
1、散热确实是一般，尤其是左上角，用一会就会比较热，当然不至于烫手。2、电源插口的位置和光驱离的太近了，老阻碍光驱弹出。3、自带的喇叭比较差，不过笔记本基本都那样了，想追求好的音响效果肯定得外置。	0
本来想买独显的机器，可惜这款不是独显的，如果是的话就更好了。不过本人也不玩游戏，平时工作娱乐都够了。	0
帮老婆买的，外观漂亮，女孩子用用足够了，感觉比我的小黑好看：），带驱动盘，换xp也很方便，就是ddr3内存加的话比较贵，先用用也够了。发热有点大！	1
算起来 在京东买的IBM笔记本也有7八台了  这台配置又有所提升 性能提升的同时保证了 非常高的性价比 散热优良 而且是完美屏 公司同事也非常满意 很大气 用起来键盘绝对舒服	1
外观是重点，的确挺好看，有点imac的风格，不过拿到手的机器上面不知道蹭了点什么黑，还好能擦掉，而且最让我郁闷的是y330这款在vista下对显卡的评分竟然比我的y430还高！要知道我的430可是顶配那款啊，p8400cpu的那款，郁闷~~~~给女友买的，她是超满意啦，我看着也觉得不错，及时又掉了100元，郁闷~	1
笔记本不错，京东不够厚道，钻石抢的和现在促销价没差几分，这不是忽悠我们钻石一族吗？？？	1
装XP系统要换回IDO接口，比较烦，不过装Vista就没问题！还有就是刚买的当天，这里就送东西，亏大了。。。。	0
外观还可以，性价比较高，这样的价格买到这样的配置还行，各方面运行还较稳定未发现有什么问题	1
外观：金属边框配白色机身很精致，小小的。体积：确实轻巧不少，带出去很方便。键盘：手感不错，大小也合适。附带的内胆包还挺好的，手感不错。	1
性价比超高，早就想要这台机子了，最后还是在这个买了，还敢上特价，不错	1
没多久就又降了100元，没有num lock显示。稍稍有点点重，比想象中。那个那个存储的宣传太扯淡了，我找了好半天那10G在哪，结果发现是在网上。我怒，这个算虚假宣传不？	0
处理器配置不高，能再高点更完美；硬盘分区不合理，居然就一个区，还得自己下软件分区，麻烦；屏幕有点大，电脑有点重，女生携带吃力	0
驱动光盘里无线网卡和猫的驱动不明确，提供了2个，不知道哪个是正确的，试着用一个，结果不知道是哪个不对，造成机器进入xp就死机，重装xp才没事，只好暂时不装这俩设备的驱动，等高手解答	0
